drugbank_id	name	atc_codes
DB00204	Dofetilide	C01BD04
DB00205	Pyrimethamine	P01BD01|P01BD51|P01BF04
DB00206	Reserpine	C02LA51|C02AA02|C02LA01|C02LA71|C02AA52
DB00207	Azithromycin	J01RA07|S01AA26|J01FA10
DB00208	Ticlopidine	B01AC05
DB00209	Trospium	A03DA06|G04BD09
DB00210	Adapalene	D10AD03|D10AD53
DB00211	Midodrine	C01CA17
DB00212	Remikiren	C09XA01
DB00213	Pantoprazole	A02BD04|A02BD11|A02BC02
DB00214	Torasemide	C03CA04|G01AE10
DB00215	Citalopram	N06AB04
DB00216	Eletriptan	N02CC06
DB00217	Bethanidine	C02CC01
DB00218	Moxifloxacin	S01AE07|J01MA14
DB00219	Oxyphenonium	A03AB53|A03AB03
DB00220	Nelfinavir	J05AE04
DB00222	Glimepiride	A10BD04|A10BB12|A10BD06
DB00223	Diflorasone	D07AC10
DB00224	Indinavir	J05AE02
DB00225	Gadodiamide	V08CA03
DB00227	Lovastatin	C10AA02|C10BA01
DB00228	Enflurane	N01AB04
DB00229	Cefotiam	J01DC07
DB00230	Pregabalin	N03AX16
DB00231	Temazepam	N05CD07
DB00232	Methyclothiazide	C03AA08|C03AB08
DB00233	Aminosalicylic acid	J04AA02|J04AA03|J04AA01
DB00234	Reboxetine	N06AX18
DB00235	Milrinone	C01CE02
DB00236	Pipobroman	L01AX02
DB00237	Butabarbital	N05CB01
DB00238	Nevirapine	J05AG01|J05AR05|J05AR07
DB00239	Oxiconazole	D01AC11|G01AF17|G01AF20
DB00240	Alclometasone	D07AB10|S01BA10
DB00241	Butalbital	N05CB01
DB00242	Cladribine	L04AA40|L01BB04
DB00243	Ranolazine	C01EB18
DB00244	Mesalazine	A07EC02
DB00245	Benzatropine	N04AC01
DB00246	Ziprasidone	N05AE04
DB00247	Methysergide	N02CA04
DB00248	Cabergoline	N04BC06|G02CB03
DB00249	Idoxuridine	D06BB01|J05AB02|S01AD01
DB00250	Dapsone	D10AX05|J04BA02
DB00251	Terconazole	G01AG02
DB00252	Phenytoin	N03AB02|N03AB52
DB00253	Medrysone	S01BA08
DB00254	Doxycycline	J01AA02|A01AB22|J01AA20
DB00255	Diethylstilbestrol	L02AA04|L02AA01|G03CC05|G03CB02
DB00256	Lymecycline	J01AA04|J01AA20
DB00257	Clotrimazole	D01AC01|A01AB18|G01AF02|G01AF20
DB00258	Calcium acetate	V03AE04|A11GB01|V03AE07
DB00259	Sulfanilamide	G01AE10|J01EB06|D06BA05
DB00260	Cycloserine	J04AB01
DB00261	Anagrelide	L01XX35
DB00262	Carmustine	L01AD01
DB00263	Sulfisoxazole	J01EB05|G01AE10|S01AB02
DB00264	Metoprolol	C07FB02|C07FX05|C07FX03|C07FB13|C07AB02|C07BB52|C07CB02|C07BB02
DB00266	Dicoumarol	B01AA01
DB00267	Cefmenoxime	J01DD05
DB00268	Ropinirole	N04BC04
DB00269	Chlorotrianisene	G03CA06
DB00270	Isradipine	C08CA03
DB00271	Diatrizoate	V08AA01
DB00272	Betazole	V04CG02
DB00273	Topiramate	N03AX11
DB00274	Cefmetazole	J01DC09
DB00275	Olmesartan	C09DA08|C09DX03|C09CA08|C09DB02
DB00276	Amsacrine	L01XX01
DB00277	Theophylline	R03DA54|R03DA74|R03DA20|R03DA04|R03DB04
DB00278	Argatroban	B01AE03
DB00279	Liothyronine	H03AA03|H03AA02
DB00280	Disopyramide	C01BA03
DB00281	Lidocaine	S01HA07|D04AB01|R02AD02|C01BB01|S02DA01|N01BB52|C05AD01|N01BB02
DB00282	Pamidronic acid	M05BA03
DB00283	Clemastine	D04AA14|R06AA54|R06AA04
DB00284	Acarbose	A10BD17|A10BF01
DB00285	Venlafaxine	N06AX16
DB00286	Conjugated estrogens	G03CA57|G03CC07
DB00287	Travoprost	S01EE04
DB00288	Amcinonide	D07AC11
DB00289	Atomoxetine	N06BA09
DB00290	Bleomycin	L01DC01
DB00291	Chlorambucil	L01AA02
DB00292	Etomidate	N01AX07
DB00293	Raltitrexed	L01BA03
DB00294	Etonogestrel	G03AC08
DB00295	Morphine	A07DA52|N02AA51|N02AA01|N02AG01
DB00296	Ropivacaine	N01BB09
DB00297	Bupivacaine	N01BB01|N01BB51
DB00298	Dapiprazole	S01EX02
DB00299	Penciclovir	D06BB06|J05AB13
DB00300	Tenofovir disoproxil	J05AR27|J05AF07|J05AR08|J05AR11|J05AR09|J05AR06|J05AR24|J05AR12|J05AR03
DB00301	Flucloxacillin	J01CR50|J01CF05
DB00302	Tranexamic acid	B02AA02
DB00303	Ertapenem	J01DH03
DB00304	Desogestrel	G03AC09|G03FB10|G03AB05|G03AA09
DB00305	Mitomycin	L01DC03
DB00306	Talbutal	N05CA07
DB00307	Bexarotene	L01XX25
DB00308	Ibutilide	C01BD05
DB00309	Vindesine	L01CA03
DB00310	Chlorthalidone	G01AE10|C03EA06|C03BB04|C03BA04
DB00312	Pentobarbital	N05CB01|N05CA01
DB00313	Valproic acid	N03AG01
DB00314	Capreomycin	J04AB30
DB00315	Zolmitriptan	N02CC03
DB00316	Acetaminophen	N02BE71|N02BE01|N02AJ13|N02AJ17|N02BE51|N02AJ06|N02AJ01
DB00317	Gefitinib	L01XE02
DB00318	Codeine	N02AA79|R05DA04|N02AA59|N02AJ08|N02AJ06|N02AJ07
DB00319	Piperacillin	J01CA12|J01CR50
DB00320	Dihydroergotamine	N02CA51|N02CA01
DB00321	Amitriptyline	N06AA09|N06CA01
DB00322	Floxuridine	L01BC09
DB00323	Tolcapone	N04BX01
DB00324	Fluorometholone	D07XB04|D07AB06|S01BA07|S01BB03|C05AA06|D07CB03|S01CB05|S01CA07|D10AA01
DB00325	Nitroprusside	C02DD01
DB00326	Calcium glucoheptonate	A12AA10
DB00327	Hydromorphone	N02AA53|N02AA03|N02AG04
DB00328	Indomethacin	S01CC02|M01AB51|S01BC01|M02AA23|M01AB01|C01EB03
DB00330	Ethambutol	J04AK02|J04AM03|J04AM06|J04AM07
DB00331	Metformin	A10BD23|A10BD02|A10BD18|A10BD11|A10BD25|A10BA02|A10BD22|A10BD14|A10BD16|A10BD17|A10BD05|A10BD15|A10BD07|A10BD10|A10BD13|A10BD20|A10BD08|A10BD03
DB00332	Ipratropium	R03BB01|R01AX03|R03AL01|R03AL02
DB00333	Methadone	N07BC02|N02AC52
DB00334	Olanzapine	N05AH03
DB00335	Atenolol	C07CB53|C07AB03|C07FB03|C07DB01|C07BB03|C07CB03
DB00336	Nitrofural	B05CA03|S02AA02|D08AF01|D09AA03|S01AX04|P01CC02
DB00337	Pimecrolimus	D11AH02
DB00338	Omeprazole	A02BC01|A02BD05|A02BD01
DB00339	Pyrazinamide	J04AK01|J04AM06|J04AM05
DB00340	Metixene	N04AA03
DB00341	Cetirizine	R06AE07
DB00342	Terfenadine	R06AX12
DB00343	Diltiazem	C08DB01|C05AE03
DB00344	Protriptyline	N06AA11
DB00345	Aminohippuric acid	V04CH30
DB00346	Alfuzosin	G04CA01|G04CA51
DB00347	Trimethadione	N03AC02
DB00348	Nitisinone	A16AX04
DB00349	Clobazam	N05BA09
DB00350	Minoxidil	D11AX01|C02DC01
DB00351	Megestrol acetate	G03FB04|G03DB02|G03FA08|G03AC05|L02AB01|G03AA04|G03AB01
DB00352	Tioguanine	L01BB03
DB00353	Methylergometrine	G02AC01|G02AB01
DB00354	Buclizine	R06AE51|R06AE01
DB00355	Aztreonam	J01DF01
DB00356	Chlorzoxazone	M03BB03|M03BB53|M03BB73
DB00357	Aminoglutethimide	L02BG01
DB00358	Mefloquine	P01BF02|P01BC02
DB00359	Sulfadiazine	J01EE06|J01EC02|G01AE10|J01EE02
DB00360	Sapropterin	A16AX07
DB00361	Vinorelbine	L01CA04
DB00362	Anidulafungin	J02AX06
DB00363	Clozapine	N05AH02
DB00364	Sucralfate	A02BX02
DB00365	Grepafloxacin	J01MA11
DB00366	Doxylamine	R06AA09|R06AA59
DB00367	Levonorgestrel	G03AB03|G03AD01|G03AC03|G03FB09|G03AA07|G03FA11
DB00368	Norepinephrine	C01CA03
DB00369	Cidofovir	J05AB12
DB00370	Mirtazapine	N06AX11
DB00371	Meprobamate	N05BC51|N05CX01|N05BC01
DB00372	Thiethylperazine	R06AD03
DB00373	Timolol	C07AA06|S01ED51|C07BA06|C07DA06|S01ED01
DB00374	Treprostinil	B01AC21
DB00375	Colestipol	C10AC02
DB00376	Trihexyphenidyl	N04AA01
DB00377	Palonosetron	A04AA55|A04AA05
DB00378	Dydrogesterone	G03FA14|G03DB01|G03FB08
DB00379	Mexiletine	C01BB02
DB00380	Dexrazoxane	V03AF02
DB00381	Amlodipine	C09XA54|C10BX07|C09BB03|C09BB04|C07FB07|C09DB06|C07FB12|C09DB05|C09XA53|C10BX03|C07FB13|C08CA01|C09BX04|C09BX03|C09DB04|C09DX03|C08GA02|C09DB07|C09DX06|C09BX01|C10BX11|C09DB02|C10BX09|C08CA51|C09DX01|C09DB09|C09DB01|C10BX14|C09BB07|C09DX07
DB00382	Tacrine	N06DA01
DB00383	Oxyphencyclimine	A03AA01|A03CA03
DB00384	Triamterene	C03DB02
DB00385	Valrubicin	L01DB09
DB00387	Procyclidine	N04AA04
DB00388	Phenylephrine	S01FB01|R01AB01|C01CA06|R01AA04|S01FB51|R01BA53|S01GA05|S01GA55|R01BA03
DB00389	Carbimazole	H03BB01
DB00390	Digoxin	C01AA05
DB00391	Sulpiride	N05AL01
DB00392	Profenamine	N04AA05
DB00393	Nimodipine	C08CA06
DB00394	Beclomethasone dipropionate	D07CC04|R03AL09|R03BA01|D07AC15|R03AK08|R03AK13|R01AD01|A07EA07
DB00395	Carisoprodol	M03BA02|M03BA72|M03BA52
DB00396	Progesterone	G03FA04|G03DA04
DB00397	Phenylpropanolamine	R01BA51|R01BA01
DB00398	Sorafenib	L01XE05
DB00399	Zoledronic acid	M05BB08|M05BA08
DB00400	Griseofulvin	D01BA01|D01AA08
DB00401	Nisoldipine	C08CA07
DB00402	Eszopiclone	N05CF04
DB00403	Ceruletide	V04CC04
DB00404	Alprazolam	N05BA12
DB00405	Dexbrompheniramine	R06AB06|R06AB56
DB00406	Gentian violet cation	G01AX09|D01AE02
DB00408	Loxapine	N05AH01
DB00409	Remoxipride	N05AL04
DB00410	Mupirocin	R01AX06|D06AX09
DB00411	Carbamoylcholine	N07AB01|S01EB02
DB00412	Rosiglitazone	A10BD04|A10BG02|A10BD03
DB00413	Pramipexole	N04BC05
DB00414	Acetohexamide	A10BB31
DB00415	Ampicillin	J01CR50|J01CA51|J01CA01|S01AA19
DB00417	Phenoxymethylpenicillin	J01CR50|J01CE10|J01CE02
DB00418	Secobarbital	N05CB01|N05CA06
DB00419	Miglustat	A16AX06
DB00420	Promazine	N05AA03
DB00421	Spironolactone	C03DA01
DB00422	Methylphenidate	N06BA04
DB00423	Methocarbamol	M03BA73|M03BA03|M03BA53
DB00424	Hyoscyamine	A03BA03|A03CB31
DB00425	Zolpidem	N05CF02
DB00426	Famciclovir	J05AB09|S01AD07
DB00427	Triprolidine	R06AX07
DB00428	Streptozocin	L01AD04
DB00429	Carboprost tromethamine	G02AD04
DB00430	Cefpiramide	J01DD11
DB00431	Lindane	P03AB02
DB00432	Trifluridine	L01BC59|S01AD02
DB00433	Prochlorperazine	N05AB04
DB00434	Cyproheptadine	R06AX02
DB00435	Nitric Oxide	R07AX01
DB00436	Bendroflumethiazide	C03AB01|C03EA13|G01AE10|C03AA01
DB00437	Allopurinol	M04AA01|M04AA51
DB00438	Ceftazidime	J01DD02
DB00439	Cerivastatin	C10AA06
DB00440	Trimethoprim	J01EE03|J01EA01|J04AM08|J01EE01|J01EE04|J01EE02|J01EE05|J01EE07
DB00441	Gemcitabine	L01BC05
DB00442	Entecavir	J05AF10
DB00443	Betamethasone	R01AD06|D07BC01|S01BA06|S01BB04|S01CB04|H02AB01|C05AA05|S03CA06|D07XC01|D07AC01|A07EA04|S02BA07|R03BA04|S03BA03|S01CA05|D07CC01
DB00444	Teniposide	L01CB02
DB00445	Epirubicin	L01DB03
DB00446	Chloramphenicol	D06AX02|S02AA01|D10AF03|S01AA01|G01AA05|J01BA01|S03AA08
DB00447	Loracarbef	J01DC08
DB00448	Lansoprazole	A02BC03|A02BD02|A02BD07|A02BD09|A02BD10|A02BD03|A02BC53
DB00449	Dipivefrin	S01EA02
DB00450	Droperidol	N05AD08
DB00451	Levothyroxine	H03AA01
DB00452	Framycetin	D09AA01|R01AX08|S01AA07
DB00453	Clomocycline	J01AA11
DB00454	Meperidine	N02AB02|N02AB72|N02AB52|N02AG03
DB00455	Loratadine	R06AX13
DB00456	Cefalotin	J01DB03
DB00457	Prazosin	C02LE01|C02CA01
DB00458	Imipramine	N06AA02
DB00459	Acitretin	D05BB02
DB00460	Verteporfin	S01LA01
DB00461	Nabumetone	M01AX01
DB00463	Metharbital	N03AA30
DB00464	Sodium tetradecyl sulfate	C05BB04
DB00465	Ketorolac	M01AB15|S01FB51|S01BC05
DB00467	Enoxacin	J01MA04
DB00468	Quinine	M09AA72|P01BC01
DB00469	Tenoxicam	M01AC02
DB00470	Dronabinol	A04AD10
DB00471	Montelukast	R03DC03|R03DC53
DB00472	Fluoxetine	N06CA03|N06AB03
DB00474	Methohexital	N05CB01|N01AF01|N05CA15
DB00475	Chlordiazepoxide	N05BA02
DB00476	Duloxetine	N06AX21
DB00477	Chlorpromazine	N05AA01
DB00478	Rimantadine	J05AC02
DB00479	Amikacin	S01AA21|D06AX12|J01GB06|J01RA06
DB00480	Lenalidomide	L04AX04
DB00481	Raloxifene	G03XC01
DB00482	Celecoxib	M01AH01|G01AE10|L01XX33|C08CA51
DB00484	Brimonidine	D11AX21|S01EA05
DB00485	Dicloxacillin	J01CR50|J01CF01
DB00486	Nabilone	A04AD11
DB00487	Pefloxacin	J01MA03
DB00488	Altretamine	L01XX03
DB00489	Sotalol	C07AA07|C07BA07|C07FX02
DB00490	Buspirone	N05BE01
DB00491	Miglitol	A10BF02
DB00492	Fosinopril	C09BA09|C09AA09
DB00493	Cefotaxime	J01DD01
DB00494	Entacapone	N04BX02
DB00495	Zidovudine	J05AR04|J05AF01|J05AR05|J05AR01
DB00496	Darifenacin	G04BD10
DB00497	Oxycodone	N02AA56|N02AA05|N02AA55|N02AJ18|N02AJ17|N02AJ19
DB00498	Phenindione	B01AA02
DB00499	Flutamide	L02BB01
DB00500	Tolmetin	M01AB03|M02AA21
DB00501	Cimetidine	A02BA51|A02BA01
DB00502	Haloperidol	N05AD01
DB00503	Ritonavir	J05AP53|J05AR10|J05AE03|J05AR23|J05AR26|J05AP52
DB00505	Tridihexethyl	A03AB08
DB00507	Nitazoxanide	P01AX11
DB00508	Triflupromazine	N05AA05
DB00509	Dextrothyroxine	C10AX01
DB00511	Acetyldigitoxin	C01AA01
DB00512	Vancomycin	J01XA01|A07AA09|S01AA28
DB00513	Aminocaproic acid	B02AA01
DB00514	Dextromethorphan	R05DA09|N07XX59
DB00515	Cisplatin	L01XA01
DB00518	Albendazole	P02CA03
DB00519	Trandolapril	C09AA10|C09BB10
DB00520	Caspofungin	J02AX04
DB00521	Carteolol	S01ED55|S01ED05|C07AA15
DB00522	Bentiromide	V04CK03
DB00523	Alitretinoin	D11AH04|L01XX22
DB00524	Metolazone	C03EA12|G01AE10|C03BA08
DB00525	Tolnaftate	D01AE18
DB00526	Oxaliplatin	L01XA03
DB00527	Cinchocaine	D04AB02|S01HA06|S02DA04|N01BB06|C05AD04
DB00528	Lercanidipine	C09DB08|C09BB02|C08CA13
DB00529	Foscarnet	J05AD01
DB00530	Erlotinib	L01XE03
DB00531	Cyclophosphamide	L01AA01
DB00532	Mephenytoin	N03AB04|N03AB54
DB00533	Rofecoxib	M01AH02
DB00535	Cefdinir	J01DD15
DB00537	Ciprofloxacin	J01RA11|S03AA07|J01MA02|S02AA15|J01RA10|J01RA12|S01AE03
DB00538	Gadoversetamide	V08CA06
DB00539	Toremifene	L02BA02
DB00540	Nortriptyline	N06AA10
DB00541	Vincristine	L01CA02
DB00542	Benazepril	C09BA07|C09AA07
DB00543	Amoxapine	N06AA17
DB00544	Fluorouracil	L01BC52|L01BC02
DB00545	Pyridostigmine	N07AA02
DB00546	Adinazolam	N05BA07
DB00547	Desoximetasone	D07AC03|D07XC02
DB00548	Azelaic acid	D10AX03
DB00549	Zafirlukast	R03DC01
DB00550	Propylthiouracil	H03BA02
DB00551	Acetohydroxamic acid	G04BX03
DB00552	Pentostatin	L01XX08
DB00553	Methoxsalen	D05BA02|D05AD02
DB00554	Piroxicam	M01AC01|M02AA07|S01BC06
DB00555	Lamotrigine	N03AX09
DB00557	Hydroxyzine	N05BB01|N05BB51
DB00558	Zanamivir	J05AH01
DB00559	Bosentan	G01AE10|C02KX01
DB00560	Tigecycline	J01AA20|J01AA12
DB00561	Doxapram	R07AB01
DB00562	Benzthiazide	G01AE10
DB00563	Methotrexate	L04AX03|L01BA01
DB00564	Carbamazepine	N03AF01
DB00565	Cisatracurium	M03AC11
DB00567	Cephalexin	J01DB01
DB00568	Cinnarizine	N07CA52|N07CA02
DB00569	Fondaparinux	B01AX05
DB00570	Vinblastine	L01CA01
DB00571	Propranolol	C07FX01|C07AA05|C07BA05
DB00572	Atropine	S01FA01|A03CB03|A03BA01
DB00573	Fenoprofen	M01AE04
DB00574	Fenfluramine	A08AA02
DB00575	Clonidine	S01EA04|C02LC01|C02AC01|N02CX02|C02LC51
DB00576	Sulfamethizole	J01EB02|B05CA04|G01AE10|S01AB01|D06BA04
DB00577	Valaciclovir	J05AB11
DB00578	Carbenicillin	J01CR50|J01CA03
DB00579	Mazindol	A08AA05
DB00580	Valdecoxib	M01AH03
DB00581	Lactulose	A06AD61|A06AD11
DB00582	Voriconazole	J02AC03
DB00583	Levocarnitine	A16AA01
DB00584	Enalapril	C09BA02|C09BB06|C09BB02|C09AA02
DB00585	Nizatidine	A02BA04
DB00586	Diclofenac	S01CC01|S01BC03|M01AB55|M02AA15|M01AB05|D11AX18
DB00589	Lisuride	G02CB02|N02CA07
DB00590	Doxazosin	C02CA04
DB00591	Fluocinolone acetonide	S01CA10|D07BC02|S02BA08|C05AA10|S01BA15|D07AC04|S02CA05|D07CC02
DB00592	Piperazine	P02CB01
DB00593	Ethosuximide	N03AD01|N03AD51
DB00594	Amiloride	C03DB01
DB00595	Oxytetracycline	J01AA06|S01AA04|J01AA56|D06AA03|G01AA07|J01AA20
DB00596	Ulobetasol	D07AC21
DB00597	Gadoteridol	V08CA04
DB00598	Labetalol	C07BG01|C07CG01|C07AG01
DB00599	Thiopental	N01AF03|N05CB01|N05CA19
DB00600	Monobenzone	D11AX13
DB00601	Linezolid	J01XX08
DB00602	Ivermectin	P02CF01|D11AX22
DB00603	Medroxyprogesterone acetate	G03DA02|L02AB02|G03AC06
DB00604	Cisapride	A03FA02
DB00605	Sulindac	M01AB02
DB00606	Cyclothiazide	G01AE10|C03AB09|C03AA09
DB00607	Nafcillin	J01CR50|J01CF06
DB00608	Chloroquine	P01BA01
DB00609	Ethionamide	J04AD03
DB00610	Metaraminol	C01CA09
DB00611	Butorphanol	N02AF01
DB00612	Bisoprolol	C07FX04|C07BB07|C07AB07|C09BX02|C09BX04|C07FB07
DB00613	Amodiaquine	P01BF03|P01BA06
DB00614	Furazolidone	G01AX06
DB00615	Rifabutin	J04AB04
DB00617	Paramethadione	N03AC01
DB00618	Demeclocycline	J01AA01|D06AA01|J01AA20
DB00619	Imatinib	L01XE01
DB00620	Triamcinolone	D07AB09|R01AD11|R03BA06|D07BB03|A01AC01|H02AB08|D07CB01|S01BA05|D07XB02|S02CA04|C05AA12
DB00621	Oxandrolone	A14AA08
DB00622	Nicardipine	C08CA04
DB00623	Fluphenazine	N05AB02
DB00624	Testosterone	G03BA03|G03EA02
DB00625	Efavirenz	J05AR06|J05AG03|J05AR11
DB00626	Bacitracin	J01XX10|D06AX05|R02AB04
DB00627	Niacin	C10AD02|C10AD52|C10BA01|C04AC01
DB00628	Clorazepic acid	N05BA05
DB00630	Alendronic acid	M05BB03|M05BA04|M05BB06|M05BB05
DB00631	Clofarabine	L01BB06
DB00632	Docosanol	D06BB11
DB00633	Dexmedetomidine	N05CM18
DB00634	Sulfacetamide	D10AF06|S01AB04|G01AE10
DB00635	Prednisone	A07EA03|H02AB07
DB00636	Clofibrate	C10AB01
DB00637	Astemizole	R06AX11
DB00638	Inulin	V04CH01
DB00639	Butoconazole	G01AF20|G01AF15
DB00640	Adenosine	C01EB10
DB00641	Simvastatin	A10BH51|C10AA01|C10BX04|C10BA02|C10BX01|C10BA04
DB00642	Pemetrexed	L01BA04
DB00643	Mebendazole	P02CA51|P02CA01
DB00644	Gonadorelin	V04CM01|H01CA01
DB00645	Dyclonine	N01BX02|R02AD04
DB00646	Nystatin	D01AA01|G01AA01|A07AA02|G01AA51
DB00647	Dextropropoxyphene	N02AC04|N02AC54|N02AC74
DB00648	Mitotane	L01XX23
DB00649	Stavudine	J05AF04|J05AR07
DB00650	Leucovorin	V03AF06|V03AF03
