chemical_cid,uniport_accession
753,Q966G8
440552,Q9U3M2
5388909,Q966I0
124823,Q9N5U1
980,Q9U2Z2
447077,Q9XXC0
23994,Q966I0
679,Q9XXC0
1567,Q9N588
888,G5EG87
23994,Q9XWZ3
8515,Q9XXC0
2585,Q86ME6
77918,G5EBT9
888,Q9XXC0
753,Q2AAB9
68841,O44997
6083,Q21275
439750,Q9BL34
448580,Q21817
216239,Q9U2M5
985,Q9XU81
449087,Q9XXC0
5005498,Q9XXC0
5330812,Q9XXC0
11524144,P03949
171548,Q9BI98
1540,Q9XXC0
1567,Q9XXC0
867,Q09545
378,A7WK41
439407,Q9N4F3
8172,Q9XXC0
23994,Q9U297
888,P34346
23994,Q9XVK5
6860,Q21762
5329103,O17566
5288834,Q20660
165339,Q966G8
8515,Q9XXC0
23994,Q93725
23994,Q9UAX1
888,Q10457
3396,Q86ME6
888,Q22054
753,O45417
16362,Q86ME6
119224,Q9XXC0
5002,Q86ME6
2159,Q86ME6
68841,Q22601
4566,P34638
753,H2KYE9
888,Q966C6
5957,P34539
30819,G5EC24
23994,Q0MQ68
447912,Q966I0
657140,Q9N5U1
72886,Q9XXD8
5330812,A7WK47
753,Q93761
30819,P34638
447966,P20792
46937061,Q966I0
447638,Q9XXC0
440552,Q9N384
440552,Q9N384
6083,Q9XVZ6
3485,P51485
5288834,Q20660
5656,Q9N3C7
447027,Q9N5E4
2513,P29355
57537,Q86ME6
5957,Q9NAN1
446696,P34409
439750,P90849
4078,Q86ME6
1567,O02089
5709,Q86ME6
23994,Q8WT44
23994,G5EFD9
5073,Q86ME6
5288834,P17139
30819,Q9XW37
445154,O45827
30819,O44562
5362422,Q94316
23994,Q8WQF2
445383,Q9N5U1
753,Q9XUK7
753,Q3HKD3
2160,Q86ME6
753,Q22915
888,Q9XVZ6
46937112,O01815
5961,Q9N5X5
6918537,Q7JKY3
8150,Q9U2F5
11524144,Q23356
5312137,O17566
46937045,Q9Y1J3
3140,Q10914
10339710,Q9XXC0
5287844,Q9NB31
447649,P34638
8223,Q86ME6
888,Q21080
4893,Q86ME6
3033538,Q86ME6
753,Q18218
5281071,Q86ME6
165339,Q21762
6083,Q9BHL6
5330812,Q968Y9
888,Q20206
5494385,Q7JKY3
888,Q9BHL6
5289085,Q9TZ33
4510,Q9TXM0
23994,Q22366
5326843,Q9XXC0
439691,P34662
753,Q21693
23994,Q23639
753,P91119
12374,Q9XWZ3
753,O01815
5280343,Q19278
23994,Q17820
753,Q09603
70807,P91406
753,Q9U295
753,Q9XUN8
23994,Q5TYK5
753,Q19326
3372,Q86ME6
23994,Q9XVK5
444764,Q9TZB1
888,Q19192
46937093,Q9N5U1
23994,Q17796
170018,P34342
753,Q9U302
23994,Q9TYY8
23647652,P34638
6365297,O44578
753,Q9TZS5
44129629,Q10914
11955614,P91119
5073,Q86ME6
23994,P91406
5566,Q86ME6
681,Q9N3C7
888,Q9TZS5
6083,Q9N5U1
15991588,P91119
145742,Q27481
134856,Q9XW79
23994,G5EBW2
5327153,Q9TZB1
5459373,Q9XXC0
23994,O61460
8515,O44562
888,P03949
4917,Q86ME6
3973,Q86ME6
753,Q9N5S0
2681,Q86ME6
23994,Q9N5X5
47811,Q86ME6
753,Q09506
1051,Q9N4K2
750,Q23042
888,Q21817
753,Q9N576
11957417,Q9XXC0
3157,Q86ME6
11581936,P91119
446073,Q19752
6102781,P91406
529,Q9TYQ8
23994,Q09165
444795,O44578
8515,Q9XXC0
753,P41938
9861547,G5EFD9
25195365,Q93341
5957,Q9U3I0
5005498,Q23356
5073,Q86ME6
753,P34343
5287620,Q94231
888,Q18559
8631,O44578
888,O16785
8172,Q9U2F5
4011,Q9N3C7
867,Q21080
702,P53795
165339,Q93379
11213558,Q9XXC0
60795,Q86ME6
5330812,Q9XXC0
11840904,Q7JKY3
31275,Q94231
5284592,Q86ME6
5459361,H2L0G7
23994,Q19869
23994,Q8T8B9
28864,Q86ME6
5329,Q93341
753,O01864
4917,Q86ME6
4630909,Q9XXC0
60961,Q9XXC0
643975,O44975
40539,P91406
3922,Q966I0
5311507,Q86ME6
25113171,Q9XXC0
46937130,Q22054
888,Q9XWZ3
5329102,Q9XXC0
24180585,Q7JKY3
753,Q95YB8
643975,Q9NA32
440552,Q09277
888,Q9XWW5
24360,Q86ME6
5329102,Q9BL73
447961,Q9XXC0
221493,P90849
23994,Q9BL34
2726,Q86ME6
23994,G5EBX9
449005,P90849
888,Q9BHL6
5472,Q86ME6
5991,Q9N3C7
6083,Q20230
9934347,A7WK47
23994,Q9XXC0
5288238,Q9XXC0
888,Q9BIB8
448457,Q93550
2099,Q86ME6
23994,Q9BKQ5
165331,Q9XXC0
5280961,O44578
25181315,O02655
888,Q9XWZ3
6083,P91134
165339,Q966G8
6291,Q966I0
1175,Q960A1
165339,Q21762
23727982,P34638
23994,Q966C6
753,Q9XXD8
3062316,P03949
4976,Q9N3C7
888,H2L055
643975,Q9N357
888,Q86MG7
23994,Q9XXH8
753,Q9XXU5
4926,Q9N3C7
5289457,Q09545
441383,Q86ME6
6005,Q86ME6
16750040,Q966I0
448436,Q7JKY3
30819,Q9XXC0
6228,Q9XWZ3
888,P51485
24768528,Q94316
888,Q6A1T5
440053,Q10914
4926,Q86ME6
24851689,Q9XXC0
216239,Q9XXC0
8172,G5EDC5
60795,Q86ME6
30819,Q9TYT3
888,Q9XXC0
170018,Q21624
3151,Q86ME6
60961,Q9XXC0
4171,Q86ME6
888,Q7JNG1
5957,Q9U2M5
867,Q27538
644241,Q95ZV7
753,Q93794
888,Q9BKQ5
6090,Q86ME6
30819,Q45FX5
70807,Q8I4E5
753,Q9TZB1
4748,Q86ME6
447458,Q966I0
3386,Q9N3C7
681,Q86ME6
8223,Q86ME6
888,Q27245
5894,Q9XXC0
2803,Q86ME6
72886,Q27538
11338033,Q9XXC0
90255,Q8ITY6
753,Q11185
65124,Q93379
1567,Q21762
3168,Q86ME6
983,Q09995
2396,Q9XXC0
23994,Q9U325
753,Q966I0
23925,Q9XW79
888,P90731
447721,Q9XXC0
125017,Q9N3C7
2396,O44562
3278,Q966G8
440053,Q10914
2513,P19826
263366,Q7JKY3
888,P30636
23994,Q95Q11
5288834,Q9XUN8
167842,Q10914
30819,Q9XVK5
5289085,Q21817
985,Q965W1
445953,Q9XXC0
888,Q9XWZ3
753,Q9N3S5
5280343,O45827
68841,P35603
23925,Q19341
753,H2KYQ5
985,Q9XXJ2
753,P90731
753,Q9U2F5
5073,Q86ME6
5289419,A7WK47
5957,Q10039
2818,Q86ME6
5287512,P20792
5288834,Q20660
3957,G5EE47
753,P91406
7302,P30429
54746,Q86ME6
643975,Q960A1
5494425,Q9U1Y5
216239,Q9XXC0
5957,Q9XXK1
888,O17218
119,G5EDB7
5584,Q86ME6
5962,Q95ZQ3
753,Q9TZ33
7245,Q9XXC0
8172,Q9XWV2
2396,Q9XXC0
753,P28191
54746,Q86ME6
888,Q9XXC0
23925,Q21773
888,Q9XWZ3
5452,Q86ME6
6083,Q95ZQ3
11213558,Q8T7Z0
2247,Q86ME6
3696,Q86ME6
4680,Q9N2V9
1701,Q7JKY3
5355,Q86ME6
4011,Q9N3C7
5957,Q2L6Y6
888,Q9TZB1
24798741,Q9XTG7
156422,O17566
6918852,Q9XXC0
888,P91427
33032,Q09630
753,Q9XW54
23994,Q95QI7
5289517,Q10914
124886,Q93379
446662,Q9TZB1
10531,Q86ME6
5329103,Q9XXC0
753,Q93341
446662,Q9TZB1
445713,P41992
2159,Q86ME6
10401956,B5BM27
5288834,Q93379
444732,Q18477
3342298,Q94316
753,Q9BL35
448994,Q9XXC0
2726,Q86ME6
6140,Q19713
5326843,Q23356
971,Q9UAV5
4748,Q86ME6
119224,Q9XXC0
4595,Q6BET0
888,Q9U2M5
5287844,Q9XXC0
13017,Q965R0
273,P41931
5494425,Q9XXC0
23925,Q9GYI0
888,H2L0J6
151243,Q9TZ58
5330812,Q9XXC0
2396,Q9NAH6
3964,Q86ME6
11213558,Q9XXC0
888,Q09995
4927,Q86ME6
3241,Q86ME6
753,Q9XXC0
888,Q22018
439925,Q7YTU0
888,P34429
753,Q23255
888,P34673
24851688,O44997
888,Q95XC4
5330812,Q9NAH6
60149,Q86ME6
23925,H2KZJ5
8172,Q9U2F5
165879,Q18924
6918852,Q9XXC0
5452,Q86ME6
753,G5EDZ2
44129627,O44578
753,Q9U1R7
448662,Q9TZB1
753,Q18919
125132,Q9N5R9
6419766,Q9XXC0
888,Q21773
30819,Q95PW9
6914659,Q9UB28
5566,Q86ME6
888,Q9U1Y5
5957,Q05036
753,Q9U297
11314340,Q9NAH6
6288,Q9N384
753,Q22015
1567,O61460
644213,Q966I0
753,P29355
1053,Q9XX97
23994,Q19360
23994,O16991
9862248,O44578
23994,Q965X6
23994,Q95Y12
1051,Q9XX97
190,Q9GZI3
5287728,Q9XXC0
588963,Q8WTM6
170018,G5EDZ2
753,Q8I111
3964,Q86ME6
5894,Q9U2M5
888,O02495
439153,Q9UAV5
60149,G5EE47
1195,Q5FC21
23994,Q23639
936,Q22279
8058,Q9XWZ3
5494425,Q9TZM3
4927,Q86ME6
888,Q9U2F5
3559,Q86ME6
65059,Q19546
5494425,Q9XXC0
447873,Q9XXC0
5957,Q18218
753,G5EBU3
753,Q22343
657141,Q9N5U1
4932,Q86ME6
888,Q18276
445953,Q9XXC0
46936196,Q8I4E5
2801,Q86ME6
71329,G5EE47
11840911,Q9XXC0
60149,Q86ME6
5880,Q9U2Z2
12587,Q9XXD8
888,Q17684
5329102,Q9XXC0
190,Q9XXC0
5288641,P34638
6419766,Q9XXC0
753,P54412
44176356,Q9Y1J3
5288834,Q7JP80
5566,Q86ME6
439153,Q9TZ33
156422,Q9XXC0
72886,Q9XXD8
753,B7WN66
6267,Q9N5X5
57537,Q86ME6
5494425,Q9XXC0
9750,Q23042
193653,P34400
405389,P91093
3168,Q86ME6
2513,Q9XXJ1
1567,G5EEG4
6049,O02332
5329103,Q9XXC0
753,H2KYP2
5288834,Q9XUN8
439750,Q9TZ33
190,A7WK41
753,Q7JP75
170018,Q9XXC0
449005,Q9TZ33
888,Q2XN02
165339,Q19683
1567,Q23493
5957,Q23280
1051,P41931
753,Q9XWZ3
5756,Q966I0
23994,P34662
643975,Q95YB2
5533,Q9N3C7
170018,Q966I0
98527,Q86ME6
753,P27604
159772,Q23528
888,Q8WQF2
23994,G5EFD5
5312137,Q9XXC0
753,Q22501
753,Q9XXK1
23994,Q9TZ33
24808499,Q9TZB1
5494425,O44562
11243969,Q7JKY3
5957,Q9BHL6
23925,Q9XW79
2513,Q9XW37
4748,Q86ME6
753,Q22516
681,Q86ME6
448580,Q9TZ33
2159,Q86ME6
447961,P03949
888,Q9N4N4
1130,P30636
3899,O01815
23994,P90904
439153,P41938
46937097,Q17790
447256,Q7JKY3
124087,Q86ME6
2160,Q9N3C7
126569,Q10914
5311507,Q86ME6
888,B7WNA0
753,Q21740
1053,Q94055
3034285,Q9TZ33
2585,Q9N3C7
3034010,H2KY93
4595,Q86ME6
753,Q9U2F5
5326871,Q9XXC0
3827,Q86ME6
441314,Q21750
104758,Q9N588
6860,Q21762
888,Q9XXC0
44129629,Q10914
60961,Q86MI3
440552,Q9N384
753,Q09353
6918537,Q7JKY3
10972974,Q9N5E4
5287969,Q9U2M5
165339,Q9TZB1
447048,Q17432
753,Q09250
4976,Q9N3C7
446073,Q9XWZ3
23994,Q9U3I0
5732,Q6BET0
448009,Q9XXC0
84815,B3KYC0
753,Q9Y1J3
4829,Q966I0
11213558,B5BM27
888,P52887
643975,O01590
3510,Q6BET0
15991547,Q9N5U1
1567,Q94231
444732,Q18477
753,G5EDW2
23994,Q9XXC0
6914660,G5EGJ9
2119,Q6BET0
6083,Q23493
753,Q9U302
11574606,P34638
5073,G5EE47
679,Q965R0
6006216,Q966I0
5709,Q86ME6
888,Q9U1R7
647,G5EBS1
23994,P91019
205131,Q7JKY3
446094,Q09506
6083,Q9GUG2
24864077,Q9XXC0
446696,Q09615
5329103,O76411
65063,G5EDZ2
5073,Q86ME6
753,Q9XU12
447656,Q9XXC0
5756,Q966I0
8172,Q86D20
888,O44562
3559,Q6BET0
11160307,Q2L6Y6
60795,Q86ME6
449162,Q9TZB1
753,Q9XXC0
8172,Q9GR61
23994,Q95Y12
165339,Q966G8
2247,Q86ME6
5957,P52874
84815,P91406
69602,G5EBT9
643975,Q9TXI4
165331,Q9XXC0
11840927,Q9GZI3
3547,Q9XXC0
445154,Q9U2Z2
8172,Q21693
16750040,Q966I0
985,Q966I0
888,Q9U3P9
5288834,H2L055
43815,Q9N3C7
3083544,Q86ME6
888,Q9BIG4
6083,G5ECI8
9429,Q86ME6
5452,Q86ME6
24801863,Q9XXC0
8064,Q9N588
10531,Q86ME6
16040279,Q7JKY3
643975,G5ECS4
3034285,Q9TZ33
888,Q86MI3
98487,Q09525
8226,Q86ME6
4020,Q9N3C7
5002,Q86ME6
23994,Q966I0
444108,Q9XWZ3
165339,Q21624
643975,B7FAS8
448043,Q9XXC0
165339,Q9XXC0
4748,Q86ME6
753,Q9TZB1
753,Q9XW16
11314340,Q9XXC0
23994,Q95Q89
4926,Q86ME6
753,H2L0G7
11427975,Q9XXC0
170018,Q9NF11
16758226,Q966I0
221493,Q9BL34
11213558,Q9XXC0
5330812,Q9XXC0
4020,Q86ME6
5326739,Q9XXC0
5280961,Q966I0
753,Q8WQF2
11531308,Q966I0
6468,Q6BET0
5362129,Q18581
1400,B5BM27
446845,Q21817
750,Q9U2F5
25113172,O44562
44144380,Q93341
46937156,Q9N5U1
448055,Q9N2V9
169148,G5EC16
888,Q9TYL2
1051,G5EDB7
753,Q9XXC0
158397,Q10914
6102690,Q966I0
23994,Q9XW79
30819,Q9UB28
44129612,Q9XWV3
753,Q9U2F5
2170,Q86ME6
753,Q9TZB1
2396,Q9XXC0
90334,Q9XXC0
448662,Q9TZB1
5329102,Q9XXC0
753,Q9BKS1
23994,Q19683
440552,Q9N384
5280343,Q9XXC0
25011729,O61460
9549225,Q966I0
165339,Q21762
124886,Q966G8
4636,Q86ME6
5790,Q9N588
5961,Q93650
53359,Q9U2J6
1933,Q9U295
753,Q94055
23994,Q19980
5330812,Q9Y1J3
6083,P91427
439153,Q21481
5312137,O44562
3168,Q86ME6
5951,Q21080
23994,Q23368
356,H2L0G7
2092,Q86ME6
5957,Q9TZM2
4541,Q9N3C7
888,O62102
176870,O17566
5957,Q10457
888,Q23089
6420130,Q22279
387447,Q9N599
888,Q9XVK5
387447,O62102
753,Q19655
17754396,Q9XXC0
5957,Q9XUY2
1060,Q19842
446094,Q09277
447912,Q966I0
63306,Q09525
11524144,Q9XXC0
1369,Q9XXC0
5355,Q86ME6
11338033,Q9XXC0
1701,Q7JKY3
1483,O44578
443600,O44502
3372,Q86ME6
753,Q21773
5289418,O44562
753,Q9GZI3
753,Q9N384
68841,Q9N492
1933,Q9U295
5005498,Q9XXC0
1983,P34545
888,Q9U1W7
145742,Q27481
23994,Q95XD1
9934347,Q9XXC0
10972974,Q21817
23925,Q9U297
4510,Q9TXM0
444732,Q18477
2771,Q9N3C7
5329103,Q9XXC0
24916788,Q2L6Y6
44129603,Q9XXC0
447721,Q9XXC0
23994,Q9XXC0
753,Q9XW16
447099,Q93341
4917,Q86ME6
2726820,Q2L6Y6
23925,Q65CM5
753,H2KZL6
4893,Q86ME6
447742,Q9XX97
31275,P34288
4528,Q9N3C7
448009,Q9XUY2
2513,Q9BIG4
888,O02058
888,Q9U299
67361,Q86ME6
68841,Q9U2F5
30819,Q9XVK5
3062316,Q95ZV7
5780,G5EDU7
2801,Q9N3C7
753,Q966G8
753,Q21285
124886,Q966G8
446018,Q22825
447196,Q10914
165331,Q9XXC0
447873,Q9XXC0
23994,Q95QI7
888,Q9BL35
5327109,Q9XTG7
5326868,Q9XXC0
679,B6VQ95
1757,Q9TZB1
23994,Q20660
23925,P83388
1060,Q9TYQ8
753,G5EGM3
11243969,Q7JKY3
1511,Q09525
753,P91500
30819,Q9XXC0
1400,O44562
11524144,O61460
9547919,Q9TZB1
33032,P54412
5287844,Q9XXC0
2352168,Q9XXC0
3758,P91119
4449,Q86ME6
5291,Q86ME6
941361,Q86ME6
5687,Q9XWW5
888,Q9XXC0
753,Q05036
70815,Q9XXC0
5330812,Q9XXC0
753,Q95QX5
165339,Q8IAA9
165339,Q19019
23897,Q86ME6
151171,Q86ME6
712,O18158
447961,Q9XXC0
2396,Q9NAH6
888,Q95ZN7
753,O17080
156422,Q9XXC0
216239,O17566
888,Q9N4M0
68841,Q9XXC0
68841,Q9XXC0
679,Q9XXC0
753,P31161
5287844,Q9XXC0
888,O44997
170018,Q9XVK5
447195,Q10914
588963,Q9U1R7
753,Q6BER5
643975,Q93379
30819,O61460
3059,O44578
3446,Q9XXD8
23994,P34545
5291,Q95ZV7
25049750,Q94316
753,Q9U299
23994,O62106
753,Q23528
11538992,Q7JKY3
15541,Q8WQA8
447725,Q9XXC0
753,Q9XU12
23994,G5EFL0
5329103,Q9XXC0
1567,P30429
23994,G5EG53
23994,Q21773
23925,Q22013
753,P92186
11213558,Q9XXC0
888,Q8WQC0
1567,Q9XXC0
679,Q965Y9
16078,Q86ME6
2681,Q86ME6
1567,Q9XXC0
753,Q23165
6083,Q9XXC0
888,Q9XXC0
5756,Q966I0
44129630,Q10914
9998128,P20792
753,O44562
888,Q5FC21
23994,Q06561
6140,Q19980
8515,Q9XXC0
644241,O61460
753,P32740
448011,O44578
25190761,P34638
888,Q9XVI9
62258,Q9N3C7
30819,Q9XVK5
72886,Q9N5N4
5494414,Q9XXC0
5329102,Q9XXC0
16362,Q86ME6
447027,Q9TZ33
125132,Q9N5S0
30819,Q9XXC0
867,B5BM27
65999,Q966I0
643975,Q9N4Z0
888,Q9GYQ7
644241,Q9XXC0
5957,G5EGT4
23727981,P34638
156422,P03949
702,Q17490
14086997,Q966I0
23994,G5ED07
65856,Q9N3C7
23994,Q966I0
444412,Q9N588
111509,Q8I4E5
753,Q18990
3042,Q86ME6
444795,Q86ME6
444475,O02058
24875320,O61460
23994,Q19546
5775,Q86ME6
679,Q9XXC0
888,B5BM27
447076,Q9TYQ8
71360,Q86ME6
3278,Q966G8
888,O45278
24963048,Q9XTG7
5287459,O01815
753,Q9BIA2
33032,Q966G8
11507040,A8WFI7
439744,Q18276
2513,Q03600
985,Q9XXJ2
145742,Q9N492
9927355,Q966I0
1175,O17892
439750,P41992
649,Q9XXD0
888,Q968Y9
888,O76258
10531,Q86ME6
3151,Q86ME6
176870,B5BM27
888,G5EGQ3
888,O62349
23925,Q9U2M4
753,Q09409
23994,P48150
23994,Q20899
5326885,Q9N5U1
1051,Q94055
888,O17860
11314340,Q9XXC0
5991,Q9N3C7
5962,Q95XN1
449005,Q9TZ33
2726,Q9N3C7
449087,Q9XXC0
44129612,Q9U1R7
3396,Q86ME6
379,Q9XW79
11524144,H2KZW5
15906,Q966G8
8747,Q93341
25058133,Q93341
387447,Q9N599
2913,Q86ME6
5327109,Q9XXC0
23722944,O44578
11213558,Q9XXC0
4946,Q86ME6
16113377,Q9XXC0
447695,Q9TZB1
447077,O44562
23994,Q23042
753,Q20129
23994,Q22516
5289247,Q9XXC0
888,Q9NF11
5289419,Q9XXC0
3103,Q86ME6
2993,Q8I4G4
33032,Q21544
5288834,Q9TZ93
447077,Q95ZV7
446202,H2KZL6
753,Q9UAV3
5312137,Q9NB31
23897,Q86ME6
23994,Q966I0
7245,Q9XXC0
23994,P50880
6322,Q18316
753,Q95XC4
4369084,G5EBU3
3372,Q86ME6
23994,G5EGQ9
753,Q9U295
21307,O44954
23994,P30641
6288,Q9N384
888,Q9N426
4932,Q86ME6
23994,Q23457
888,Q9GZI3
529,B7WNA0
5330812,O44562
30819,Q966I0
5957,O44562
6914573,Q9XXD8
3062316,P20792
888,Q20779
16750059,Q7JKY3
6918852,Q9XXC0
9934347,Q9XXC0
888,G5ECZ0
8226,Q86ME6
444412,Q22968
753,Q19013
3038525,Q9XXC0
11304412,Q9XXC0
448651,Q9UAV5
5957,Q9XVK5
5568,Q86ME6
1543,O01815
702,Q09525
5005498,Q9XXC0
9926791,Q9XXC0
445015,Q19752
5035,Q86ME6
1933,Q9U295
273,Q965R0
149790,Q8IG39
70815,Q21740
3396,Q86ME6
5330812,Q9XXC0
753,Q8IG39
888,Q8MQ20
2249,Q86ME6
753,Q20660
753,Q9TZ33
888,Q10578
23994,Q966I0
126569,Q10914
6083,Q86ME6
985,Q965W1
24875302,Q966I0
23994,Q65ZG6
15991546,Q9N5U1
4184,Q9N3C7
16040279,Q7JKY3
4946,Q86ME6
2170,Q86ME6
888,P30429
6090,Q86ME6
3062316,Q23356
5289419,Q9XXC0
888,G5EEI8
969472,Q6BET0
3168,Q86ME6
16058637,Q9XXC0
5005498,Q9XXC0
753,O77081
888,O45278
5326866,Q9XXC0
23994,P90904
888,Q8WQA8
1547484,Q86ME6
10249182,Q9XXC0
227,P29355
753,Q8MXK3
9865587,Q9XXC0
9865587,Q9XXC0
11213558,Q9XXC0
107971,Q9TXM0
753,Q9N5U1
5288016,Q9XXC0
1567,O44578
753,Q93650
5991,Q966I0
68841,Q9XXC0
23994,Q9XX56
445715,Q27245
888,Q9NAH6
72886,Q9N4M0
753,Q95QM5
6419766,Q23356
11338033,Q9XXC0
216239,Q86ME6
145742,Q9N492
753,Q9U3P0
3168,Q86ME6
134856,Q9XW79
2099,Q6BET0
5329102,Q9XXC0
5961,Q19013
216239,Q95ZV7
5533,Q86ME6
753,Q95Y12
5005498,Q9XXC0
447638,P34638
888,Q94231
753,Q17632
753,Q9XXC0
5578,Q93341
70,Q9XXD8
985,P91871
30819,Q9N3S5
5601,O62215
5035,Q960A1
72886,Q21762
5960,Q10457
4768,Q86ME6
165339,Q21929
5287541,Q18924
753,Q9XXC0
888,Q9TZI9
23994,Q95PY8
5761,Q86ME6
753,P27715
867,Q18990
23994,Q965R0
5862,Q94055
3396,Q86ME6
2803,Q86ME6
6083,P54936
5957,Q9TZC4
888,Q9U2F5
16046126,Q9XXC0
132519,Q94316
23994,Q9N5E4
888,Q9UB28
753,Q22825
5757,Q9U2Z2
23994,Q9U302
2726,Q86ME6
2585,Q86ME6
33032,Q19013
449241,Q9XXC0
21078798,Q9XXC0
4917,Q86ME6
6288,P52709
656965,Q9N2V9
5329103,Q9XXC0
753,P17139
753,Q05036
888,Q22856
8226,Q86ME6
888,P91871
888,G5EFG5
25195347,O44739
5288598,Q10914
6409,Q9XWZ3
23994,Q966I0
123631,B5BM27
439691,Q09533
2818,Q86ME6
753,Q03604
8172,Q965S0
2520,Q86ME6
9934347,Q9XXC0
5957,Q95Q62
216239,Q86ME6
66762,Q17474
5401,Q86ME6
753,P46554
5329102,Q9NAH6
263,G5EGJ9
535,P29355
23925,Q09973
1567,Q09315
643975,Q09567
888,Q9XXD8
23994,O02058
68841,Q93794
3598,Q966I0
753,Q21544
23994,G5EEG4
1051,O44538
5073,Q86ME6
4748,Q86ME6
446696,Q09615
5288834,Q18680
753,Q9XXC0
4197,O44578
753,Q9XXC0
753,P90829
753,G5EGI1
888,G5EDH0
888,Q21122
7504,O62102
165339,Q9XWZ3
753,G5EEY5
5284592,Q86ME6
888,Q9U1Y5
134856,Q09543
6918852,Q9XXC0
23994,Q95XX1
753,A7WK41
449394,O44578
5288371,Q9XXJ0
3151,G5EE47
760,B1GRK5
448974,Q2L6Y6
5288238,Q9XXC0
888,Q9TYL2
753,Q18680
2803,Q86ME6
888,O01763
888,Q9XWZ3
24836812,O61460
444732,A7LPD8
30819,Q9TZB1
753,Q9TZL8
667639,O45827
23994,B7WN72
1567,P46554
5245,P91093
5327155,Q9TZB1
14925,P34455
888,O45434
753,Q9NA32
23994,Q9TXP0
5164,Q9XXC0
753,P34574
24851688,Q9XXC0
440552,O45947
5287600,Q9XW79
46937096,Q22943
5330812,Q9XXC0
2170,Q86ME6
753,Q21817
5287600,A9UJN4
888,Q9TYL2
165339,Q9XXC0
24941248,Q9N2L7
6918710,P34638
448580,Q21817
753,Q22101
867,O16228
888,Q9XXC0
439153,Q9N5E4
5327066,Q9XXC0
7504,Q9N599
3168,Q86ME6
5287969,Q9XXC0
23994,Q27389
7302,O44562
753,O76258
4993,Q9N588
11395145,Q966I0
753,Q9TZH6
8172,Q9N3C9
23994,P34650
2708,Q966G8
5494425,A7WK47
753,Q9N5B3
227,Q9N4Z0
5002,Q86ME6
170018,H2KZJ5
23994,Q20779
753,Q8ITY6
8226,Q86ME6
6852206,Q9XXC0
753,P91427
3278,Q966G8
888,P91866
888,Q9N599
23994,Q22825
753,Q8MXK3
11213558,Q9NAH6
51,O17643
70815,Q18861
5289517,Q10914
90255,Q9N492
62452,O01815
5950,Q94055
643975,Q18919
23994,Q09519
750,P50432
156422,Q20660
71360,Q86ME6
6083,Q09639
753,Q22120
888,Q20678
