chemical_cid,uniport_accession,score
499,Q9XXK1,0.871
875,P52015,0.871
1101,G5EEH6,0.871
138,Q9TXZ9,0.871
451,Q09525,0.871
929,P91988,0.870
2108,P98080,0.870
2108,Q9U302,0.870
4,Q21966,0.870
149,Q9U2J5,0.870
1079,Q21276,0.870
1148,H2L039,0.870
44,Q20950,0.870
138,Q20414,0.870
614,Q58A98,0.869
797,Q22111,0.869
929,O18030,0.869
1816,Q20143,0.869
499,B5BM30,0.868
2108,O17643,0.868
470,P17329,0.868
470,P17330,0.868
736,Q21702,0.868
515,Q23511,0.868
865,G5EG58,0.868
865,Q19048,0.868
44,P34647,0.868
797,Q23158,0.868
791,A7WK41,0.868
158,Q18426,0.868
3066,Q7JP61,0.868
392,Q9XUG5,0.867
1172,Q20122,0.867
751,P14585,0.867
741,O76360,0.867
1938,Q965N3,0.867
607,Q17446,0.867
865,Q94272,0.867
929,Q9XVU2,0.867
1148,Q8T5S1,0.867
871,P91455,0.866
149,Q21463,0.866
929,G5ECH0,0.866
175,Q94282,0.866
3347,Q965N3,0.866
3687,Q9XU10,0.866
3066,G5EGH0,0.866
865,G5EDF9,0.866
797,Q09996,0.866
44,Q17525,0.866
535,G5EFA2,0.866
779,Q9Y0V6,0.865
179,P52009,0.865
779,H2KYE9,0.865
149,O44549,0.865
470,Q9N4M0,0.865
470,Q19775,0.865
515,Q93725,0.864
797,P91857,0.864
2758,O02495,0.864
451,Q22370,0.863
205,Q9N5S1,0.863
499,Q23511,0.863
515,Q0G819,0.862
2108,Q9N4Y8,0.862
262,P90829,0.862
2374,Q17328,0.862
779,Q17754,0.862
1079,Q18596,0.862
3189,G5EGK1,0.862
179,P52015,0.861
3687,Q22018,0.861
3251,Q7JP61,0.861
617,Q20057,0.861
2108,Q21752,0.861
370,Q19579,0.861
196,A7LPD8,0.861
525,Q9NAN1,0.861
525,Q20414,0.861
3981,O17470,0.861
791,Q5FC21,0.860
825,P49404,0.860
617,Q23543,0.860
611,Q9N392,0.860
602,G5ECE8,0.860
741,G4SFC3,0.860
929,O02215,0.860
205,Q7JNG1,0.859
4397,O17892,0.859
3981,Q19523,0.859
44,O16454,0.859
22,Q17389,0.859
993,Q27474,0.859
262,Q9NEW6,0.859
797,O44411,0.859
34,G5EFG5,0.859
1148,O16452,0.858
175,P52014,0.858
441,P52014,0.858
441,P52013,0.858
619,Q20057,0.857
2108,O45552,0.857
564,Q17361,0.857
619,Q23543,0.857
44,Q7JKY3,0.857
2901,Q7JP61,0.857
779,Q95NM6,0.856
196,O17850,0.856
1079,O45012,0.856
44,Q9BL07,0.855
3158,G5EBX8,0.855
515,Q58A98,0.855
71,Q9XWF1,0.855
525,Q58A98,0.855
876,O02225,0.855
3251,G5EGH0,0.854
149,O16686,0.854
741,Q09315,0.854
487,Q21554,0.854
205,P34697,0.854
1148,P35449,0.854
604,Q17361,0.853
196,Q9XWF1,0.853
197,Q9XVU3,0.853
2758,Q9U2D0,0.853
469,Q7YXH5,0.853
13,P12844,0.852
515,Q21742,0.852
2108,O02642,0.852
929,P46563,0.852
1182,G5EET2,0.852
2083,Q22307,0.852
865,Q9U2G5,0.852
797,Q21693,0.852
1182,Q93315,0.852
21,G5ECB2,0.851
2108,P53596,0.851
1079,P91424,0.851
876,Q9XVU2,0.851
1045,Q19951,0.851
947,Q27481,0.851
149,P34275,0.851
3675,O16264,0.850
1101,Q17745,0.850
1245,G5EFF7,0.850
21,Q8MQA1,0.850
732,Q9U3L8,0.849
451,Q17983,0.849
619,O17850,0.849
970,P52014,0.849
971,P52014,0.849
929,P31161,0.849
876,P34497,0.849
602,Q9U2F2,0.848
1172,Q9XXD0,0.848
736,O61856,0.848
779,Q20057,0.848
4397,O17626,0.848
1148,Q8I4D7,0.848
779,Q23543,0.848
867,P52013,0.847
867,P52014,0.847
4332,Q95008,0.847
875,P52013,0.847
875,P52014,0.847
1267,Q19752,0.847
1816,G5EDZ2,0.847
392,O76689,0.847
1198,Q20100,0.847
487,Q9NEW6,0.846
3009,Q17758,0.846
673,P91907,0.846
673,Q21966,0.846
356,Q93456,0.846
811,P91985,0.846
2682,O02495,0.846
469,Q9NA91,0.845
21,Q17389,0.845
364,Q21322,0.845
2758,Q04833,0.845
1993,O16992,0.845
5114,P34578,0.845
756,P52018,0.845
1242,P34650,0.844
3981,O16880,0.844
197,O16315,0.844
3893,O02151,0.844
2113,Q21086,0.844
865,Q95QE2,0.844
876,Q9U307,0.843
205,Q7KX00,0.843
149,Q95YB2,0.843
178,Q18445,0.843
4075,Q03577,0.843
3727,Q19358,0.843
865,Q20943,0.843
3514,H2KZJ5,0.843
732,Q23315,0.843
2113,Q9U302,0.843
179,Q95QH7,0.843
779,Q94316,0.842
2113,Q93650,0.842
929,Q21080,0.842
1816,Q93341,0.841
58,O61847,0.841
149,Q22370,0.841
2881,Q17474,0.840
111,G5ECB2,0.840
602,O17798,0.840
2154,P91455,0.840
515,Q27538,0.840
451,Q9N3H9,0.840
929,Q18974,0.840
3347,G5ECY0,0.840
797,P34512,0.840
3158,Q86ME6,0.839
2666,Q21219,0.839
515,Q20939,0.839
5114,Q9U7D5,0.839
180,P90917,0.839
3467,Q17938,0.839
4332,Q95005,0.838
2235,H2KYI5,0.838
3452,P34255,0.838
174,Q19305,0.838
602,Q09527,0.838
614,Q8I4D7,0.838
4455,Q4A1S8,0.838
2691,P41994,0.838
3467,Q7JMA9,0.837
1267,O44501,0.837
3452,P34673,0.837
3452,Q93244,0.837
470,O01607,0.837
564,Q20220,0.837
810,P34578,0.837
3452,Q965R0,0.837
2901,Q19564,0.837
617,P14585,0.837
197,P27420,0.836
451,Q7Z003,0.836
797,Q9Y041,0.836
876,Q95QH7,0.836
149,Q9N4A5,0.836
21,G5EGH0,0.836
607,G5EDF7,0.835
5114,G5EF08,0.835
3365,Q9N3T2,0.835
515,P34697,0.835
137,Q8TA65,0.834
3452,Q09527,0.834
3675,Q8MXT1,0.834
929,P55216,0.834
2108,Q22918,0.834
499,Q7JNG1,0.834
878,Q9N4I4,0.834
978,Q20057,0.834
824,Q9XVS1,0.834
179,P52013,0.834
3931,Q10944,0.833
2682,Q9U2D0,0.833
564,O16303,0.833
541,Q11174,0.832
3863,Q93454,0.832
3347,O02642,0.832
172,P52709,0.832
5114,H2KYP2,0.832
525,P52014,0.832
525,P52013,0.832
3024,O17966,0.831
604,O61219,0.831
5114,O76360,0.831
2881,P34638,0.831
2002,Q19004,0.831
791,Q21215,0.831
604,G5EFF7,0.831
191,Q27504,0.831
451,Q95Q57,0.830
525,Q17361,0.830
499,Q18938,0.830
3452,Q95YB2,0.829
791,Q9XU10,0.829
262,Q19564,0.829
2113,O61199,0.829
1101,O16924,0.829
5114,P52166,0.829
3009,O01840,0.829
756,P52009,0.829
1107,O18276,0.828
441,P34642,0.828
779,G5EFF7,0.828
44,O62146,0.828
149,P91997,0.828
149,O45903,0.828
4943,Q9U2U0,0.828
3981,Q966F9,0.828
262,Q9N3X2,0.828
196,Q10929,0.828
3981,Q18775,0.827
1773,Q21284,0.827
451,Q23315,0.827
138,Q9N3X2,0.827
421,Q9XVQ9,0.827
2235,Q93934,0.827
158,Q965V9,0.826
871,Q20143,0.826
2681,Q19951,0.826
1032,P52018,0.826
470,Q95YB2,0.826
158,Q9UAV3,0.826
196,H2KYE9,0.826
617,P34638,0.825
535,O62332,0.825
779,O16303,0.825
149,Q17983,0.825
4599,Q17770,0.825
2290,Q09537,0.825
515,O61902,0.825
797,Q2V4S2,0.825
4456,O44451,0.825
5281,O45926,0.825
617,Q17525,0.825
2758,Q9XUP4,0.824
364,Q93572,0.824
4875,Q9N4I4,0.824
964,P49404,0.824
929,Q95Y87,0.824
1107,G5ECN1,0.824
756,P52015,0.824
791,Q9U2M5,0.824
1245,O45876,0.824
4875,O02161,0.824
392,Q965Y1,0.823
1336,Q09438,0.823
797,Q9UAQ6,0.823
810,O76360,0.823
5022,G5ECV9,0.823
13,O44556,0.823
929,O62122,0.823
1043,Q94230,0.823
262,P52009,0.822
470,G5EF86,0.822
3158,G5EGH0,0.822
71,O18180,0.822
929,Q20634,0.822
811,P41849,0.822
5022,O01789,0.822
408,Q18217,0.822
1775,P52709,0.822
3121,O62334,0.822
4607,Q95003,0.822
180,Q09990,0.821
5238,Q95QE8,0.821
619,Q10929,0.821
741,P90795,0.821
2901,Q23295,0.821
865,P34409,0.821
5236,G5ECA0,0.821
5576,P12844,0.821
957,Q9XWF1,0.821
4,O17365,0.821
3053,O61660,0.821
5558,O61742,0.821
5270,O01789,0.821
741,Q19202,0.821
5576,B5BM27,0.820
1032,Q18445,0.820
797,P53596,0.820
5270,Q95YB8,0.820
791,Q17898,0.820
929,Q9N5U1,0.819
797,Q9XV04,0.819
5558,P11141,0.819
470,P41938,0.819
499,P55216,0.819
5114,G4SFC3,0.819
5270,Q8IA75,0.818
811,Q23511,0.818
58,Q20414,0.818
197,Q20943,0.818
1112,G5EBT9,0.818
797,O02642,0.818
5281,Q10654,0.818
6981,Q9XWF1,0.818
4649,Q20057,0.818
470,P91918,0.818
3452,P34559,0.818
1030,Q9NHC3,0.817
4581,Q19087,0.817
458,B6VQ90,0.817
262,P52015,0.817
4685,Q20641,0.817
197,B5BM47,0.817
5558,P35129,0.817
799,O44413,0.817
5270,O01598,0.817
817,G5EBV0,0.817
4685,P12844,0.817
515,Q22171,0.817
2666,Q17758,0.816
2022,G5EES3,0.816
158,O01824,0.816
779,A7LPD8,0.816
5759,O02642,0.816
673,Q19572,0.816
4498,G4SRS5,0.816
5236,O17730,0.816
1984,Q17790,0.816
470,H2KZG6,0.816
3452,O44952,0.816
5665,Q95ZN7,0.816
1806,O17966,0.816
4498,O61741,0.816
515,G5EDU3,0.815
4685,Q21000,0.815
765,Q94045,0.815
2010,O45815,0.815
487,Q9U302,0.815
4086,P34578,0.815
1182,G5EDU3,0.815
791,Q17900,0.815
799,P48162,0.815
499,G5ECV9,0.815
49,Q20100,0.814
3007,Q17688,0.814
929,Q19440,0.814
4498,Q21750,0.813
262,Q93204,0.813
929,Q19890,0.813
4265,G5EFD4,0.813
2010,P0DM41,0.813
2010,P10986,0.813
2010,P10984,0.813
1172,Q9U3K2,0.813
5270,P20163,0.813
779,Q23451,0.812
192,P20163,0.812
192,P27420,0.812
2022,O16720,0.812
6119,Q17688,0.811
470,Q9N4K2,0.811
5894,Q19004,0.811
3024,P34496,0.811
4671,G5EGT7,0.811
4,Q9NHC3,0.811
5022,O16522,0.811
451,P98080,0.811
797,Q23315,0.811
6226,Q94234,0.811
2010,Q9XUN8,0.811
811,Q09490,0.811
4655,Q9N4H4,0.810
2010,Q9GZF3,0.810
3893,O01583,0.810
6354,Q19849,0.810
5270,P48996,0.810
5270,P27420,0.810
3206,Q9GZF3,0.810
93,G5EEA8,0.810
6378,P32756,0.810
5790,Q20239,0.810
2010,Q21736,0.809
6327,O61742,0.809
1172,Q09629,0.809
3206,Q21736,0.809
6303,G5EFM9,0.809
499,Q22171,0.809
191,P42168,0.809
4607,Q19202,0.809
5881,Q9XWF1,0.809
799,Q19328,0.809
1984,Q22716,0.809
2108,G5EDF5,0.809
262,Q95003,0.809
929,Q21274,0.809
6303,Q9N2L7,0.809
1032,P52009,0.808
791,Q09440,0.808
515,G5EG26,0.808
2758,P34389,0.808
5879,Q10901,0.808
5790,Q22945,0.808
192,P54816,0.808
192,Q19004,0.808
6327,P11141,0.808
5022,G5EFM9,0.808
1153,O44164,0.808
6279,G5EDY2,0.807
5759,P53596,0.807
263,Q21307,0.807
5312,P34345,0.807
811,G5EDN0,0.807
2108,G5ECM6,0.807
192,Q21086,0.807
5312,Q22352,0.807
929,Q95XY8,0.806
5238,Q09543,0.806
811,G5EEX8,0.806
6010,Q10929,0.806
499,Q93353,0.806
6569,Q19004,0.806
5987,Q22307,0.806
192,G5ECU5,0.806
5270,O45502,0.806
174,Q94230,0.806
6277,Q94234,0.806
5576,Q9GYF1,0.805
964,P52018,0.805
670,B5BM46,0.805
6674,Q20939,0.805
5196,Q18237,0.805
5281,Q19537,0.805
174,Q07750,0.805
5114,G5EG10,0.805
1392,Q18683,0.805
6354,Q03577,0.805
5192,O44960,0.805
2016,G5EBZ1,0.805
875,P32756,0.805
149,Q09474,0.804
4402,P41994,0.804
5558,Q9XTS4,0.804
535,Q95Q11,0.804
3206,G5EE85,0.804
499,Q95YD8,0.804
2154,Q20143,0.804
4075,Q8T8B9,0.804
6561,Q21053,0.804
617,P91454,0.804
3931,Q21054,0.804
5270,P46873,0.804
5879,Q22682,0.804
192,P09446,0.804
192,O45246,0.804
4671,P49632,0.803
5759,P53589,0.803
5759,P53588,0.803
5270,P09446,0.803
5995,G5EFV6,0.803
4685,Q20334,0.803
3467,Q9N4I4,0.803
6561,Q9XVF7,0.803
4713,Q93169,0.803
6288,Q20100,0.803
5905,G5EGB3,0.802
929,Q19605,0.802
515,O16880,0.802
389,Q20057,0.802
6303,Q9GZF3,0.801
811,Q21420,0.801
5312,P28191,0.801
1392,P91270,0.801
4075,O62336,0.801
6561,P92186,0.801
5905,Q93324,0.801
6665,O45430,0.801
5114,Q23158,0.801
389,Q23543,0.801
6303,Q21736,0.801
525,O16303,0.801
5280,Q9U2M5,0.801
515,G5EED8,0.801
5022,O16521,0.801
5590,O61660,0.801
4947,Q03577,0.801
6012,Q23320,0.801
38,O18158,0.800
5952,Q17703,0.800
196,Q18426,0.800
6119,O44739,0.800
149,Q18026,0.800
5894,Q18411,0.800
6035,Q9XU73,0.800
5022,Q9N501,0.800
6031,P34707,0.799
5270,Q19655,0.799
2758,Q94392,0.799
619,P91454,0.799
6418,Q93315,0.799
5022,P34580,0.799
6325,Q22236,0.799
499,Q18822,0.799
149,Q17571,0.798
5413,O16999,0.798
5894,G4SFC3,0.798
4607,Q20390,0.798
6569,O44568,0.798
5790,Q09433,0.798
6035,O62113,0.798
6742,Q23457,0.798
5280,P34697,0.798
752,Q20950,0.798
836,O01969,0.798
6119,O16992,0.798
6303,G5EE85,0.797
3931,P91079,0.797
149,Q9U2J6,0.797
515,Q8WQC9,0.797
6561,Q8WTM6,0.797
5386,Q21735,0.797
1172,P48150,0.797
791,G5EE80,0.797
2901,A7LPD8,0.797
5235,Q7JMA9,0.797
614,Q23623,0.797
4456,Q94230,0.797
5576,O76360,0.796
7099,O44857,0.796
5790,Q9UB00,0.796
4685,O44556,0.796
1773,Q95QQ4,0.796
6013,O02300,0.795
5270,G5EFI8,0.795
6494,Q21703,0.795
5754,Q93569,0.795
3467,Q9XWY8,0.795
2130,Q20751,0.795
3121,P91478,0.795
6736,P49404,0.795
5270,Q23195,0.795
929,P41931,0.795
1420,Q93761,0.794
4901,Q0G840,0.794
499,Q10663,0.794
499,Q7Z1Q3,0.794
6561,Q9XTY5,0.794
4782,P32085,0.794
791,Q5WRS4,0.794
2083,Q95QL2,0.794
5558,Q9N5R9,0.794
5745,Q18938,0.794
5192,O45666,0.794
6035,O17708,0.794
2010,Q8WQF2,0.794
2666,O01840,0.794
5810,B5BM30,0.794
192,O76360,0.794
192,Q22922,0.794
5894,O17622,0.793
21,H2L0Q3,0.793
470,O62122,0.793
5576,P48181,0.793
6327,Q09639,0.793
5790,Q9TXY8,0.793
5894,Q9XUP4,0.793
991,Q07750,0.793
499,G5EED8,0.792
5114,Q8MQA1,0.792
6560,Q8WTM6,0.792
5814,Q9U7D5,0.792
865,Q20220,0.792
470,Q21918,0.792
5936,Q18524,0.792
6300,Q2L6U6,0.792
929,B7WNA0,0.792
7099,P49404,0.792
5879,O18210,0.792
499,Q20049,0.792
811,Q95Y52,0.792
6035,G4SN66,0.792
6569,P34617,0.792
6395,Q20680,0.792
2113,G5EEC1,0.791
5894,Q95ZQ3,0.791
756,P52014,0.791
756,P52013,0.791
1117,Q07750,0.791
5759,Q21752,0.791
2758,Q9TYP1,0.791
3121,O16264,0.791
6277,Q9XWF2,0.791
3931,P91406,0.791
752,Q21322,0.791
2113,A7LPG1,0.791
3776,Q20221,0.791
3776,Q21693,0.791
6736,P91404,0.791
7423,P53589,0.791
957,H2KYE9,0.791
6569,Q93569,0.791
5995,O16999,0.790
6010,Q8T5S1,0.790
6035,O02304,0.790
6386,Q9TZ69,0.790
1101,Q9BL46,0.790
470,G5ECH0,0.790
929,Q22018,0.790
5903,Q965Q1,0.790
1292,P52166,0.790
6417,Q564Q1,0.790
5894,Q09629,0.790
5832,Q10929,0.790
470,O44549,0.790
5022,P34355,0.789
7314,P98080,0.789
71,Q20414,0.789
71,O45012,0.789
5238,P34630,0.789
6418,Q9U2M5,0.789
4782,O16880,0.789
5790,Q21735,0.789
6128,O02300,0.789
6494,Q21702,0.788
614,O76618,0.788
743,Q21276,0.788
6742,Q93971,0.788
6418,Q21230,0.788
2113,Q9U358,0.788
515,Q966F9,0.788
7099,P91404,0.788
451,Q9N4M0,0.788
6125,Q9Y041,0.788
191,Q86ME6,0.788
7314,Q22053,0.788
7314,O17643,0.788
470,O44608,0.788
617,Q22640,0.788
4875,G5EG59,0.787
779,G5EEA8,0.787
779,P91454,0.787
929,Q17574,0.787
779,Q95Q11,0.787
2010,Q22752,0.787
264,O16929,0.787
4610,O01579,0.787
1420,Q03577,0.787
2691,H2KYI5,0.787
5596,Q23022,0.787
6446,Q8T5S1,0.787
6035,O17751,0.787
6001,Q966W3,0.787
3467,Q22307,0.787
5894,Q23511,0.787
7099,Q22317,0.786
5576,P53596,0.786
3121,P34409,0.786
7922,G5EG43,0.786
5610,Q9U2Z5,0.786
844,Q9U302,0.786
5596,G5EBX8,0.786
865,O18180,0.786
7099,Q23457,0.786
3981,Q8MXS7,0.786
964,P52009,0.786
180,P34529,0.786
470,Q19626,0.786
6325,O44997,0.786
6904,O01812,0.785
7046,G5EFF7,0.785
6035,H2KYQ5,0.785
7897,Q9GYS8,0.785
125,Q9N3X2,0.785
5270,Q17745,0.785
741,Q09544,0.785
6862,G5EFD9,0.785
149,O17762,0.785
7854,P45894,0.785
614,Q93332,0.785
7897,Q21053,0.785
7758,O62334,0.785
470,O17695,0.785
2290,Q09639,0.784
3124,Q9U9J8,0.784
6303,Q9N2W5,0.784
5425,O16686,0.784
7044,Q93315,0.784
1172,Q9U6P6,0.784
3189,O01532,0.784
865,P48162,0.784
2010,Q9U3C3,0.784
451,H2KZG4,0.784
6279,P91425,0.784
4610,Q23270,0.784
9427,O18178,0.784
971,Q18445,0.784
5881,Q9XVQ9,0.783
5894,Q20230,0.783
1493,Q18445,0.783
7897,Q9N4A5,0.783
7994,O01789,0.783
6010,P91856,0.783
6224,Q21274,0.783
8180,O02495,0.783
477,Q17848,0.782
619,Q23191,0.782
4075,Q27873,0.782
4753,Q9GZI3,0.782
5903,Q965Y1,0.782
6331,Q18217,0.782
262,P52013,0.782
6514,Q9U2M5,0.782
7314,Q9N4Y8,0.782
6303,Q10661,0.782
3206,Q10661,0.782
8129,O62251,0.782
7994,O45241,0.781
224,Q19825,0.781
7501,Q23639,0.781
617,Q17348,0.781
6287,Q9NHC3,0.781
7253,Q9XXJ0,0.781
7994,P49632,0.781
6224,Q9U2J5,0.781
752,Q9U2Q8,0.781
6862,G5EFF7,0.781
865,Q94300,0.781
865,Q20647,0.781
7994,Q23543,0.780
5564,G5EFG5,0.780
825,Q10039,0.780
3189,P34460,0.780
7994,Q93338,0.780
2682,P34389,0.780
875,Q20278,0.780
192,O17005,0.780
149,P98080,0.780
6300,Q22968,0.780
2266,G5ED07,0.780
5022,O62137,0.779
799,Q9U299,0.779
5596,Q9N587,0.779
2879,Q86ME6,0.779
797,G5EGB3,0.779
224,Q9XXD4,0.779
617,G5EFY1,0.779
5022,O62139,0.779
8094,P49404,0.779
2016,Q93456,0.779
6410,B3KYC0,0.779
5425,Q22100,0.778
6185,Q93716,0.778
5270,Q17983,0.778
5755,O02300,0.778
158,Q965W1,0.778
2010,Q10661,0.778
7897,Q8WTM6,0.778
469,O76360,0.778
8254,O44408,0.778
5270,Q9XU12,0.778
197,Q9TXR4,0.778
797,O61198,0.778
957,Q9U2D0,0.777
470,Q20634,0.777
5022,O62138,0.777
6256,Q965S0,0.777
5994,Q17389,0.777
149,O17761,0.777
8314,Q03577,0.777
604,O16259,0.777
6326,Q21752,0.777
6300,Q22633,0.777
6742,Q20766,0.777
4740,Q11176,0.777
5280,Q22053,0.777
6953,Q19905,0.777
5865,O02300,0.777
7758,O44739,0.777
2010,P34712,0.777
1420,P34385,0.777
614,Q23511,0.776
124,P14585,0.776
1816,Q23588,0.776
6300,Q9NAF2,0.776
6418,Q18990,0.776
957,O02151,0.776
5195,Q93338,0.776
4534,O44985,0.776
5894,Q8ITY4,0.776
564,Q9U1Q4,0.776
7148,P90994,0.776
4075,P53795,0.776
3007,Q304D5,0.776
470,P34439,0.776
2113,Q966E7,0.776
779,B1V8A0,0.776
7799,Q09543,0.776
604,G5ECY6,0.776
791,Q17899,0.776
6256,Q22053,0.775
7994,P19826,0.775
5995,Q18217,0.775
5022,O02168,0.775
791,Q27504,0.775
4075,Q9NEZ8,0.775
8697,Q23261,0.775
8697,P53013,0.775
8314,Q23457,0.775
7897,Q9XTY5,0.775
7099,Q20993,0.775
7799,Q9N5B3,0.775
4265,Q17574,0.775
865,Q19162,0.775
7994,P34697,0.775
7028,P46561,0.775
6953,Q19839,0.775
6742,O61660,0.775
779,O16259,0.775
5558,P34496,0.775
7905,Q9NAF2,0.775
5281,Q9XXI9,0.775
5976,Q27526,0.774
7758,O16992,0.774
602,Q11190,0.774
191,Q7JP61,0.774
2235,P27604,0.774
5511,Q965X6,0.774
1172,P30648,0.774
6125,Q09440,0.774
174,O61793,0.774
617,Q10929,0.773
4901,O01583,0.773
1182,G5EFP8,0.773
7994,Q9U6P6,0.773
6912,O17470,0.773
6255,Q95008,0.773
5270,Q9NAG4,0.773
7478,Q18217,0.773
4782,Q966F9,0.773
779,G5ECY6,0.773
993,Q27526,0.773
192,G5EDY2,0.773
71,Q21276,0.773
180,P90916,0.773
7994,Q9N4K2,0.773
7994,Q22101,0.773
7897,P34617,0.773
451,Q09603,0.773
5280,Q17446,0.772
929,Q18677,0.772
6418,O61235,0.772
6418,Q8MYL7,0.772
8697,Q966G8,0.772
328,B7WN66,0.772
5270,Q9N3S5,0.772
7905,P17330,0.772
7905,P17329,0.772
144,Q9BKW4,0.772
2108,G5EFI9,0.772
7044,Q93576,0.772
8094,G5EF77,0.772
1117,Q94045,0.772
86,Q19579,0.772
6904,Q17967,0.772
7897,G5EC98,0.772
38,Q9XVS1,0.772
7905,P04970,0.772
8215,Q9U2J5,0.771
6989,Q19004,0.771
8103,O62251,0.771
7478,Q9XXJ0,0.771
2901,P34545,0.771
7896,Q9NHC3,0.771
8758,Q93569,0.771
3121,Q17957,0.771
7314,G5EDU3,0.771
389,P91985,0.771
844,O62332,0.771
3755,G5EDF5,0.771
8193,Q9U2D0,0.771
4740,O17939,0.771
6119,O17583,0.771
7909,Q19102,0.771
5425,Q20057,0.770
6300,Q23116,0.770
6561,Q02332,0.770
8103,Q05062,0.770
7896,P90829,0.770
6087,P14585,0.770
779,Q22640,0.770
